ALPHA,English,German,Spanish,
0.1, 9.390464551191316, 29.543279576520508, 29.22692562878858,
0.2, 9.193839829741442, 26.804563043823983, 26.47675089263063,
0.3, 9.100019054737185, 25.438369696456680, 25.12036878499882,
0.4, 9.045083661414674, 24.565226460426320, 24.25600315429386,
0.5, 9.010273545006195, 23.939672125123680, 23.63643813953313,
0.6, 8.987604549548612, 23.460667781165807, 23.16105375824151,
0.7, 8.972968989644977, 23.077510225427623, 22.77973933467884,
0.8, 8.963988747497295, 22.761412349777608, 22.46419087186061,
0.9, 8.959170508146528, 22.494577667781872, 22.19697072164352,
1.0, 8.957519053124058, 22.265294259358487, 21.96662803628289,
1.1, 8.958340219326500, 22.065475635258170, 21.76526618983030,
1.2, 8.961132096326438, 21.889322095923973, 21.58722438959551,
1.3, 8.965521056124760, 21.732543534320765, 21.42831493611575,
1.4, 8.971222195156422, 21.591884196434357, 21.28535813968524,
1.5, 8.978013835406047, 21.464819413863070, 21.15588619580077,
